nct_id,brief_title,overall_status,start_date,phases,enrollment_count
NCT02914730,Insulin Dosing Practices in Persons With Diabetes on Multiple Daily Injections,COMPLETED,2016-09,,75
NCT01051830,A Care Model for Hip-fractured Elderly Persons With Diabetes Mellitus,COMPLETED,2010-01,NA,176
NCT03078725,Failure Rate of GLyburide And Metformin Among Gestational Diabetics,WITHDRAWN,2017-06-20,PHASE4,0
NCT01474525,Managing Diabetes During Pregnancy in the Wireless Age,UNKNOWN,2010-01,NA,100
NCT06335225,Establishment of Precise Nutrition Management Scheme for Patients With Prediabetes Based on Nutrigenomics,RECRUITING,2024-03-13,NA,60
NCT04799925,Hyperuricemia and Diabetic Nephropathy,UNKNOWN,2021-04-15,,200
NCT00836225,"Safety, Tolerability and Activity Study of Multiple Doses of ISIS-SGLT2Rx in Healthy Volunteers",COMPLETED,2009-01,PHASE1,103
NCT06448130,Henagliflozin's Impact on Prediabetes Remission,NOT_YET_RECRUITING,2024-06,PHASE4,984
NCT03101930,Cardiovascular Effects of GLP-1 Receptor Activation,COMPLETED,2017-05-01,PHASE4,329
NCT04317430,Niclosamide Role in Diabetic Nephropathy,COMPLETED,2020-02-01,PHASE3,60
NCT01736930,An Outpatient Pump Shutoff Pilot Feasibility and Safety Study,COMPLETED,2012-01,PHASE2,20
NCT05751525,"Impact of Sulphonylureas on Neurodevelopmental Outcomes in KCNJ11-related Intermediate Developmental Delay, Epilepsy and Neonatal Diabetes (iDEND) Syndrome",RECRUITING,2016-07-01,,21
NCT01963130,Does Vildagliptin Affect Portal Vein Pressure In Patients With Type 2 Diabetes Mellitus? A Cross Sectional Study,COMPLETED,2012-07,,97
NCT00005130,Coronary Artery Risk Development in Young Adults,ACTIVE_NOT_RECRUITING,1984-01,,5115
NCT03791125,Phase I Single-dose Escalation Clinical Trial of Salvianolic Acid A Tablets,UNKNOWN,2018-11-20,PHASE1,40
NCT06756425,Effect of Aerobic Exercise Program on Blood Glucose Level and Quality of Life in Pre-diabetic Overweight/Obese Adolescents,COMPLETED,2022-09-10,NA,40
NCT05581225,Prediction of Progression of Retinal Ischemia in Diabetes,ACTIVE_NOT_RECRUITING,2022-12-02,,62
NCT00412230,Insulin Resistance and Hypertensive Disorders in Pregnancy,COMPLETED,2006-10,,100
NCT00101530,Improving Prevention of Heart Disease in Latinos,COMPLETED,2004-09,,179
NCT01494025,Identification of Muscle-specific Biomarkers of Fatty Acid Beta-oxidation,COMPLETED,2009-10,NA,13
NCT05280925,Episodic Future Thinking to Improve Management of Type 2 Diabetes: Remote Delivery and Outcomes Assessment,COMPLETED,2022-07-20,NA,137
NCT03832725,Pathobiology of Remission of Type 2 Diabetes,UNKNOWN,2018-03-01,NA,100
NCT06422325,Two Way Crossover Closed Loop Study Insulin vs Insulin and Pramlintide,COMPLETED,2024-07-12,NA,33
NCT00001625,Methods for Measuring Insulin Sensitivity,COMPLETED,1997-04-03,,480
NCT03875625,Change of Adipose Tissues and Triglyceride After Bariatric Surgery or Life-style Intervention,RECRUITING,2019-04-01,NA,80
NCT00607230,Determination of Dosing and Frequency of BCG Administration to Alter T-Lymphocyte Profiles in Type I Diabetics,COMPLETED,2007-11,PHASE1,25
NCT04543630,Maxillary Sinus Floor Augmentation in Diabetic Patients,NOT_YET_RECRUITING,2020-12-01,NA,40
NCT02457130,Comparison of TIcagrelor and Clopidogrel in Patients With Coronary Artery diseaSe and Type 2 Diabetes Mellitus (TICS-DM),UNKNOWN,2015-04,PHASE4,30
NCT04736225,Effects of the Insulin Self Titration Education for Type 2 Diabetes Mellitus Patients,COMPLETED,2010-06-01,NA,120
NCT06007430,Colostrum Supplements Effect on the Physical Performance and Cognitive Function,RECRUITING,2023-03-01,PHASE2,100
NCT04569630,The HEADWIND Study - Part 2,COMPLETED,2020-10-01,NA,22
NCT00065130,Safety and Efficacy of Insulin Aspart vs. Regular Human Insulin in Gestational Diabetes,COMPLETED,2000-04,PHASE3,27
NCT04567225,Early Basal Insulin Administration in Adult Diabetic Ketoacidosis Management,TERMINATED,2020-10-01,PHASE4,39
NCT05235425,The Lifestyle Education About Prediabetes (Leap) Study,ACTIVE_NOT_RECRUITING,2022-03-20,NA,300
NCT05998525,Dapagliflozin Effects on Coronary Calcium and Epicardial Fat Assessed by Cardiotomography,COMPLETED,2021-06-21,PHASE3,54
NCT02921425,Use of Track Health Function of the MyHealthevet Personal Health Record,COMPLETED,2014-07-01,NA,47
NCT03397225,A Lifestyle Intervention for Type 2 Diabetes Patients in Kuwait and Its Impact on Glycaemic Control,COMPLETED,2013-11-15,NA,40
NCT01052025,Curcumin Therapy in Patients With Impaired Glucose Tolerance and Insulin Resistance,UNKNOWN,2009-08,PHASE4,200
NCT07000825,EFFECTS OF A YERBA MATE EXTRACT IN REDUCING METABOLIC SYNDROME IN OVERWEIGHT INDIVIDUALS,NOT_YET_RECRUITING,2025-06-10,NA,80
NCT00546325,REASSURE: The Effect of Rimonabant on HbA1c in Overweight or Obese Patients With Type 2 Diabetes Not Adequately Controlled on 2 Oral Antidiabetic Agents,COMPLETED,2007-10,PHASE3,358
NCT00563225,20 Week Bridging Study in Type II DM,COMPLETED,2002-10,PHASE3,90
NCT00271284,Efficacy Study on the Control of Blood Glucose Concentration in Type 1 Diabetic Patients,COMPLETED,2005-10,PHASE3,88
NCT05979584,Platelet Rich Plasma VS Platelet Fibrin Plasma in Treatment of Diabetes Related Wound：a Randomized Controlled Trial,COMPLETED,2023-11-20,NA,57
NCT04093284,Evaluation of Efficacy and Safety of Insulin Glargine Injected by Needle-free Jet Syringe,UNKNOWN,2019-09-12,NA,60
NCT02074384,Patient and Provider Glucose Reporting Preferences Ambulatory Glucose Profile (AGP),COMPLETED,2014-03,NA,161
NCT02569684,Effects of Prebiotics on GLP-1 in Type 2 Diabetes,COMPLETED,2015-10,NA,37
NCT02152384,A Study to Compare and Measure the Effects of Insulin Peglispro (LY2605541) and Glargine on Meal Time Insulin Requirements,COMPLETED,2014-06,PHASE1,28
NCT03544684,Fasted Exercise in People With Type 1 Diabetes,COMPLETED,2015-03-09,NA,14
NCT04665284,Safety And Efficacy Of Empagliflozin In Pakistani Muslim Population With Type Ii Diabetes Mellitus,COMPLETED,2019-06-01,PHASE4,244
NCT06325202,Closed Loop and Education for Hypoglycemia Awareness Restoration,NOT_YET_RECRUITING,2025-07-28,NA,324
NCT01940302,Dietary Supplement of LEHEL for the Patients With Type 2 Diabetes,COMPLETED,2013-06,EARLY_PHASE1,71
NCT02136602,Interventricular Cardiac Septal Thickness in Fetus of Diabetic Mother Correlated to Postnatal Outcome,COMPLETED,2012-01,,120
NCT00518102,The Risk of Cancer in Users of Regranex (Becaplermin) and Matched Comparators (Nonusers of Regranex [Becaplermin]),COMPLETED,2003-01,,4431
NCT03440502,Effect of Diabetes Mellitus on Spinal Block Criteria During Cesarean Section,UNKNOWN,2018-04-01,,300
NCT02072902,"Diabetes, Glucose Control, Glucose Lowering Medications, and Cancer Risk: A 10-year Population-based Historical Cohort",COMPLETED,2012-03,,2188669
NCT00732602,The Effects of GIP and GLP-2 on the Secretion of Glucagon in Patients With Type 1 Diabetes,COMPLETED,2008-01,NA,8
NCT00546702,Glulisine + Lantus in Type I Patients,COMPLETED,2004-09,PHASE3,142
NCT06843902,Improving Coronary Vascular Health in Women,RECRUITING,2025-04-17,PHASE2,80
NCT06138821,Effect of Endoscopic Sleeve Gastroplasty in Patients With Obesity and MASH: A Randomized Controlled Trial,NOT_YET_RECRUITING,2025-01,NA,100
NCT02320721,Comparison of the Safety and Efficacy of HOE901-U300 With Lantus in Older Patients With Type2 Diabetes Insufficiently Controlled on Their Current Antidiabetic Medications,COMPLETED,2015-01,PHASE3,1014
NCT04045184,"Food Assistance, Diabetes, and HIV",WITHDRAWN,2018-10-20,,0
NCT06473584,Study of the Prevalence of Diabetes and Pre-diabetes in Réunion Island,RECRUITING,2025-04-02,NA,2000
NCT02427802,Study of a Topical Gentamicin-Collagen Sponge Along With Systemic Antibiotic in Infected Diabetic Foot Ulcers,COMPLETED,2015-05,PHASE3,612
NCT01724502,Mitochondrial Dysfunction in Diabetes,COMPLETED,2012-09,NA,16
NCT01914302,The Characterization of Blood Volumes of Commercially Available Lancing Devices,COMPLETED,2013-07,,64
NCT00272402,Reducing Clinical Inertia in Diabetes Care,COMPLETED,2006-02,NA,61
NCT04217902,VOIES-D-ql - Qualitative Study on Experiences of Diabetes Care Delivery and Planning,COMPLETED,2021-01-01,,33
NCT05144802,Accuracy of Dexcom G6® and FreeStyle Libre® Sensors in Standardized Hypoxemia Conditions,COMPLETED,2022-05-16,NA,30
NCT03899402,Triple Therapy in T1DM,ACTIVE_NOT_RECRUITING,2019-05-01,PHASE2|PHASE3,78
NCT06143202,Feasibility of CGM Use in Hospitalized Youth,NOT_YET_RECRUITING,2025-02-15,,120
NCT00741702,Diabetes Risk Evaluation and Microalbuminuria in Saskatchewan First Nations Peoples,COMPLETED,2001-09,NA,95
NCT02181621,A RCT to Compare the Effects of Two Wound Products on Biofilm Disruption in DFUs,TERMINATED,2014-08,NA,19
NCT01869621,Study of Metformin Pharmacogenetics in Twins,COMPLETED,2013-04,PHASE1,34
NCT06151821,Examining the Influence of Guided Meditation on Diabetes-related Distress and Glycemic Control,COMPLETED,2023-08-01,NA,68
NCT00451321,TRX4 Monoclonal Antibody in Type 1 Diabetes (T1 DM),TERMINATED,2006-07-31,PHASE2,88
NCT03908021,The Salivary Microbiome in Children With Type 1 Diabetes Mellitus,COMPLETED,2019-08-01,,66
NCT02977884,Complete Health Improvement Program (CHIP) Risk Reduction/Claims Evaluation Project,COMPLETED,2012-08,NA,389
NCT04380584,Relation Between Plasma Apelin Level and Diabetic Nephropathy in Type 2 Diabetes Patients.,COMPLETED,2019-11-30,,90
NCT04125784,Lipid Profile and Diabetes Mellitus in People With HIV,COMPLETED,2021-08-01,,450
NCT05553184,Activation of Brown Adipose Tissue Thermogenesis in Humans Using Formoterol Fumarate (GB10),COMPLETED,2022-07-05,NA,12
NCT01213784,"Optimized Glycemic Control in Heart Failure Patients With DM2:""Effect on Left Ventricular Function and Skeletal Muscle""",COMPLETED,2010-09,PHASE2,40
NCT00360984,Prevention of Severe Hypoglycemia in Type 1 Diabetes,COMPLETED,2003-05,PHASE4,21
NCT02130284,In Clinic Evaluation of the PLGM Feature,COMPLETED,2014-10,NA,80
NCT00004984,The Diabetes Prevention Trial of Type 1 Diabetes (DPT-1),COMPLETED,1994-02,PHASE3,711
NCT01231984,Comparison of Glycemic Control in Obese Diabetics Using Three Different Pen Needles,COMPLETED,2010-10,NA,293
NCT05937984,Treatment for Painful Diabetic Neuropathy,UNKNOWN,2023-09-01,NA,30
NCT03311802,A Risk Scores for Predicting Prevalence of Diabetes in the LAO Population,COMPLETED,2015-03-11,,1098
NCT02733302,Hope Theory as Ability Determinant to Permanently Change the Adapted Physical Activity (APA) in Type 2 Diabetic Patients,UNKNOWN,2016-04-04,NA,84
NCT02854202,High Protein Breakfast on Postprandial Glycemia in T2D (PBD),UNKNOWN,2012-08,NA,60
NCT05403502,"Safety Evaluation of an Advanced Hybrid Closed Loop System Using Lyumjev With the Tandem t:Slim X2 Insulin Pump With Control-IQ Technology in Adults, Adolescents and Children With Type 1 Diabetes",COMPLETED,2022-08-31,NA,183
NCT04029402,Molecular Analysis of Diabetic Kidney Disease Biopsies,RECRUITING,2019-07-01,,500
NCT06914102,Emulation of the STEP-HFpEF DM Heart Failure Trial in Healthcare Claims Data,ACTIVE_NOT_RECRUITING,2025-01-14,,58387
NCT00862602,Pedometers for Gestational Diabetes,COMPLETED,2009-07,NA,60
NCT03907202,"A Clinical Study to Evaluate the Safety, Tolerability, PK, PD, and Efficacy of KBP-089 in Patients With T2DM",TERMINATED,2018-04-17,PHASE1,25
NCT00655902,Copenhagen Obesity Risk Assessment Study,COMPLETED,2008-04,NA,52
NCT04191902,Educational Intervention Using SMS to Evaluate Clinical Effects and Satisfaction in Patients With Diabetes Mellitus,UNKNOWN,2021-01-05,,50
NCT02971202,"Contribution of Hyperinsulinemia vs. Hyperglycemia to Insulin Resistance in Type 1 Diabetes and Maturity Onset Diabetes of the Young, Type 2 (MODY2)",COMPLETED,2016-12,PHASE1,33
NCT07065721,Continuous Glucose Monitoring for Self-Management of Type 2 Diabetes in Young Adults,NOT_YET_RECRUITING,2025-07-31,NA,40
NCT04555421,Using the Lumen Device for Prediabetes Prevention,UNKNOWN,2020-10,NA,40
NCT06790784,Faricimab + PRP vs. Vitrectomy + Endolaser for Treatment of PDR,NOT_YET_RECRUITING,2025-03,PHASE3,426
NCT03621384,Association of BsmI Polymorphisms in Vitamin D Receptor Gene With Diabetic Kidney Disease,COMPLETED,2014-11,,93
NCT04829084,Augmenting Referral Pathway to Improve Uptake of Retinal Services by Diabetic Patients,COMPLETED,2021-02-26,NA,19
NCT01707784,Effects of Stress on Glucose Tolerance During Pregnancy,COMPLETED,2012-10,,203
NCT00440284,"Flexible, Intensive vs. Conventional Insulin Therapy in Insulin-Naive Adults With Type 2 Diabetes",UNKNOWN,2004-01,PHASE3,38
NCT02641184,Evaluation of Novel Risk Factors and Clinical Outcomes of Acute Myocardial Infarction,UNKNOWN,2015-12,,3000
NCT03349684,Loose-dose Combination of Acarbose and Metformin for T2DM in Metformin-failure Patients,COMPLETED,2018-03-05,PHASE3,287
NCT01254084,Effect of Gynostemma Pentaphyllum Tea in Insulin Sensitivity in Type 2 Diabetic Patients,COMPLETED,2010-02,PHASE1|PHASE2,16
NCT02201602,"Sulphonylurea Receptor Mutation and Responsiveness to Gliclazide - a Pilot Proof of Concept, Randomised Cross-over Study",COMPLETED,2014-08,PHASE4,8
NCT03670602,Weight Loss for Prediabetes Using Episodic Future Thinking,COMPLETED,2019-01-17,NA,64
NCT04423302,Effect of Totum-63 on Glucose and Lipid Homeostasis in Subjects With Dysglycemia (REVERSE-IT),COMPLETED,2020-07-08,NA,636
NCT03445702,Metformin Gastrointestinal Intolerance: Measurement of Mitochondrial Complex I,COMPLETED,2018-10-15,EARLY_PHASE1,15
NCT02498002,Impacts of Intermittent Fasting on Energy Balance and Associated Health Outcomes,COMPLETED,2015-05,NA,54
NCT04249102,"Prospective Randomized Clinical Trial Assessing the Short Term Clinical Impact of Continuous vs Flash Glucose Monitoring in Children, Adolescents and Young Adults With Type 1 Diabetes",UNKNOWN,2020-03-12,NA,80
NCT05195502,Mapping the Human Colon Using Single Cell Sequencing,UNKNOWN,2022-07-01,,20
NCT01303302,The TANTALUS® II for the Treatment of Type 2 Diabetes,COMPLETED,2008-04,NA,51
NCT02160184,Nocturnal Insulin-Glucose in Hospital: Tight Control,COMPLETED,2014-01,NA,12
NCT04537884,Safety and Tolerability Study of UBX1325 in Patients With Diabetic Macular Edema or Neovascular Age-Related Macular Degeneration,COMPLETED,2020-10-08,PHASE1,19
NCT03495284,The Effect of Potatoes on Markers of Cardiometabolic Health,COMPLETED,2018-02-19,NA,51
NCT02463084,Macronutrient Effects on Alzheimer's Disease (MEAL-2),COMPLETED,2013-03,NA,60
NCT02344602,The Effect of Uric Acid Lowering in Type 1 Diabetes,COMPLETED,2012-12-18,PHASE4,73
NCT00912002,"A Study of Absorption, Metabolism, Excretion and Mass Balance After a Single Dose Administration of MK-0941 (MK-0941-016)(COMPLETED)",COMPLETED,2008-10,PHASE1,6
NCT00229684,ARMOR (Analyzing Renal Mechanisms of Creatinine Excretion in Patients On tesaglitazaR),TERMINATED,2004-09,PHASE2,100
NCT01682902,A Randomised Trial Evaluating Continuous Subcutaneous Infusion of Formulations of NN1218 and NovoLog® in Subjects With Type 1 Diabetes,COMPLETED,2012-09,PHASE1,43
NCT05169502,Discovering Early Biomarkers in Circulating Endothelial Cells for Diabetes Complications by Single Cell RNA Sequencing,COMPLETED,2021-12-08,,40
NCT06704802,Observational Cohort Study Evaluating the Effectiveness of an Education Program (NGAYDAUTIEN) in Combination With Gliclazide MR in the Management of Uncontrolled Type 2 Diabetic Patients.,COMPLETED,2022-11-04,,678
NCT03805802,Influence of a Liquid Oat Bran Product on Blood Glucose in Patients With Poorly Controlled Type 2 Diabetes,COMPLETED,2019-02-04,NA,34
NCT04186702,New Concepts in Diabetic Macular Edema (DME),COMPLETED,2014-09-10,NA,150
NCT00146484,A Study of Two Versus Three Daily Injections in Children and Adolescents With Newly Diagnosed Type 1 Diabetes,COMPLETED,1996-04,PHASE2,100
NCT05144984,A Research Study Looking at How Well a Combination of the Medicines Semaglutide and NNC0480-0389 Works in People With Type 2 Diabetes,COMPLETED,2021-11-29,PHASE2,500
NCT04108884,RedStroke - Reducing Europe's Stroke Incidence,COMPLETED,2019-10-22,NA,1019
NCT00370084,Itopride Hydrochloride in Diabetes: Effects on Gastric Emptying and Glycemia,COMPLETED,2005-03,PHASE1|PHASE2,25
NCT03136484,Efficacy and Safety of Semaglutide Versus Canagliflozin as add-on to Metformin in Subjects With Type 2 Diabetes,COMPLETED,2017-03-15,PHASE3,788
NCT05198284,Prospective Decision Impact Clinical Utility Trial of KidneyIntelX,ACTIVE_NOT_RECRUITING,2021-11-01,,2000
NCT04678284,Diabetes Homeless Medication Support Single Arm Treatment Development Trial,COMPLETED,2021-03-24,NA,10
NCT05427084,Canagliflozin Targeting Vascular Inflammation,RECRUITING,2024-11-15,PHASE2|PHASE3,24
NCT05689684,Arabinoxylan-oligosaccharides (AXOS) for the Management of Type-2 Diabetes,COMPLETED,2022-11-07,NA,66
NCT02309502,Panretinal Photo-stimulation in Proliferative Diabetic Retinopathy,WITHDRAWN,2012-10,NA,0
NCT05585502,Impact of Muscle and Tendon Dysfunction in People With Type 2 Diabetes Mellitus,UNKNOWN,2022-12-10,NA,80
NCT00869102,Characterization of Beta Cell Failure,WITHDRAWN,2009-05,NA,0
NCT03449784,Assessment of Compliance With European and French Guidelines for the Management of Dyslipidaemias,RECRUITING,2012-05-01,,977
NCT01426802,Vildagliptin 50 mg Twice Daily in Patients With Type 2 Diabetes Mellitus Inadequately Controlled With Metformin,COMPLETED,2010-10,PHASE4,150
NCT01350284,The Effect of Natural Food Flavourings on Gastrointestinal and Cardiovascular Physiological Responses.,COMPLETED,2009-06,NA,9
NCT01136902,Measuring Retinal Vessel Caliber in Relation to Dark Adaptation and Blood Glucose Level,COMPLETED,2009-08,,14
NCT00965302,Sleeve Gastrectomy Versus Medical Management for Remission of Diabetes in Mild to Moderately Obese Patients,TERMINATED,2009-08,NA,50
NCT05090202,Prediabetes and Newly Diagnosed Diabetes in Chronic Heart Failure,UNKNOWN,2022-12-30,,100
NCT03511521,Use of NPH Versus Basal Bolus Insulin for Steroid Induced Hyperglycemia,TERMINATED,2018-03-27,PHASE4,3
NCT03534921,Improving Diabetes Outcomes for People With Severe Mental Illness (SMI),COMPLETED,2018-04-01,,46564
NCT00983021,Safety and Tolerability of NN9068 in Healthy Male Volunteers,COMPLETED,2009-09,PHASE1,24
NCT01835379,Study of Oasis Ultra in Diabetic Foot Ulcers,COMPLETED,2013-05,PHASE4,82
NCT05418179,"Effect of Probiotic Supplementation on Fecal Microbiota, Nutritional Status, Metabolic and Inflammatory Parameters in Patients With Type 2 Diabetes Mellitus",UNKNOWN,2021-12-01,NA,80
NCT06312579,At-Home Exercise Study for Veterans With Healed Diabetic Foot Ulcers,ENROLLING_BY_INVITATION,2024-10-01,PHASE2,50
NCT01220479,Exercise Training Intervention in Children With Type 1 Diabetes,COMPLETED,2001-09,NA,59
NCT03839979,"HCV Viral Hepatitis, Blood Sugar Level and Systolic Blood Pressure in Egypt",COMPLETED,2018-10-01,,71975
NCT04266379,Efficacy of Closed-loop Insulin Therapy in Adults Prone to Hypoglycemia,UNKNOWN,2020-05-13,NA,72
