nct_id,brief_title,overall_status,start_date,phases,enrollment_count
NCT05759884,Efficacy Analysis of Anti-VEGF Drugs Combined With Micropulse Laser in the Treatment of Diabetic Macular Edema,UNKNOWN,2022-02-01,NA,40
NCT00243984,Efficacy of Topiramate for Weight Loss in Subjects With Metabolic Syndrome,SUSPENDED,2005-03,PHASE3,90
NCT05915884,The Triglyceride/Glucose Index and SGLT-2 Inhibitors,COMPLETED,2023-06-10,,55
NCT04054284,Safety and Efficacy of Herbal Tea in Type 2 Diabetics,COMPLETED,2019-07-01,NA,60
NCT00964184,Phenotypic and Genetic Correlates of Diabetes (Non-Type 1) in Young Non-Obese Asian Indians in North India and A Study to Evaluate the Efficacy of Sitagliptin (DPP-4 Inhibitor) in a Sub-group of the Study Population,COMPLETED,2009-09,PHASE4,133
NCT02204384,Glycemic and Insulinemic Response With Different Sources of Soluble Fiber in Patients Type 2 Diabetes Mellitus,COMPLETED,2014-08,NA,19
NCT01556984,Changes of Endothelial Function Before and After DSA in Patients With Diabetes,COMPLETED,2012-10,,200
NCT03350984,Insulin Schemes for Type 2 Diabetes Control,COMPLETED,2017-11-02,PHASE4,75
NCT00648284,Cardiovascular (CV) Risk Evaluation In Type 2 Diabetes Subjects,COMPLETED,2004-03,,1100
NCT05633784,Telemedicine Home-based Management in Patients With CHF and Type 2 Diabetes,COMPLETED,2022-08-18,NA,163
NCT02838784,Efficacy and Safety of Artacent™ for Treatment Resistant Lower Extremity Venous and Diabetic Ulcers,UNKNOWN,2016-09,NA,134
NCT03152084,The Study Will Evaluate Average 24-hr Sodium Excretion During Dapagliflozin Treatment in Patients With Type 2 Diabetes Mellitus With Preserved or Impaired Renal Function or Non-diabetics With Impaired Renal Function.,TERMINATED,2017-07-12,PHASE4,24
NCT06573684,Differences In The Severity Of Diabetic Neuropathy Based On Electromyography In Type 2 Diabetes Mellitus Patients With And Without Comorbidities,COMPLETED,2024-01-01,,78
NCT00190502,Polyclonal Anti-T-Lymphocyte Globulin (ATG) in Type 1 Diabetes,UNKNOWN,2000-11,NA,28
NCT04665102,Pilot Study on Deep Learning in the Eye,UNKNOWN,2021-02-01,,120
NCT04102202,BOL-DP-o-05 as an Add-On Treatment of Subjects With Newly Diagnosed Type 1 Diabetes Mellitus,WITHDRAWN,2020-11-15,PHASE1|PHASE2,0
NCT03376802,A Clinical Study to Investigate the Effect of SAR425899 on Energy Expenditure in Obese Subjects,COMPLETED,2018-04-18,PHASE1,24
NCT05202002,Decrease Type II Diabetes in Gestational Diabetes Population,UNKNOWN,2021-03-01,NA,200
NCT05806502,Arginase Inhibition in Type 1 and Type 2 Diabetes Mellitus,COMPLETED,2018-11-01,NA,12
NCT00609102,Antioxidant Treatment of Type 2 Diabetes,COMPLETED,2008-07,EARLY_PHASE1,44
NCT02725502,Incretin Axis in Type 1 Diabetes Mellitus,UNKNOWN,2013-07,NA,20
NCT03781102,Type 2 Diabetes Prevention in Community Health Care Settings for at Risk Children and Mothers,TERMINATED,2019-07-01,NA,92
NCT00743002,A Trial of TT223 in Patients With Type 2 Diabetes Who Are Taking Metformin and/or Thiazolidinedione,COMPLETED,2008-08,PHASE2,87
NCT05061602,Biomechanical and Viscoelastic Properties of Plantar Fascia in Diabetes Mellitus,COMPLETED,2021-09-20,,50
NCT00475202,Hyperbaric Oxygen Therapy and Angiogenesis in Diabetic Patients With Foot Ulcers,UNKNOWN,,,0
NCT05377502,Performance and Patient Acceptance of a Commercially Available Beverage as Compared to an Oral Glucose Solution for Oral Glucose Tolerance Tests in Cystic Fibrosis (CF) Patients Who Are Screened for CF-related Diabetes.,UNKNOWN,2021-12-15,,20
NCT05605821,Influence of Diabetic Control on the Degree of Liver Fibrosis Assessed by Non-invasive Scores in Patients Followed in Diabetology,NOT_YET_RECRUITING,2024-01-15,,520
NCT02330484,Affect of Incentive Strategy on the Adherence to Medication Among Patients With Type 2 Diabetes,UNKNOWN,2014-03,NA,400
NCT05525884,Mechanism of Serum PRL in the Development of MAFLD,UNKNOWN,2017-01-01,,1000
NCT02231684,"Investigating the Pharmacokinetics of Subcutaneous Injections With 1 mg/mL, 3 mg/mL, and 10 mg/mL Semaglutide Strengths and the Absolute Bioavailability of Semaglutide",COMPLETED,2014-09,PHASE1,42
NCT02548702,Community-based Sport Programme and Type 2 Diabetes,UNKNOWN,2015-10,NA,4032
NCT01738802,The Effects of Micronutrients in Combination With Usual Care in Type 2 Diabetes,COMPLETED,2012-01,NA,111
NCT00948584,Insulin Dose Titration System Using a Short Messaging Service (SMS) Automatically Produced by a Knowledge Matrix,COMPLETED,2007-11,NA,100
NCT06959784,Assessing Incretin Therapy for Cardiovascular Risk Reduction and Diabetes Remission( ITCRDR Study),ENROLLING_BY_INVITATION,2024-01-01,PHASE4,142
NCT00226902,Vascular Reactivity in Kidney Disease Patients,COMPLETED,2006-09,NA,15
NCT06457802,Sit Less Program for Patients With Type 2 Diabetes,TERMINATED,2024-06-12,NA,4
NCT01087502,Safety and Efficacy of Linagliptin in Type-2-diabetes Mellitus Patients With Moderate to Severe Renal Impairment,COMPLETED,2010-03,PHASE3,241
NCT04143802,A Study of LY3437943 in Participants With Type 2 Diabetes Mellitus (T2DM),COMPLETED,2019-12-18,PHASE1,72
NCT01898702,Clinical Trial on Diabetes Expert Patients Programme,UNKNOWN,2013-05,NA,500
NCT05163002,Effectiveness of Nutrition Education in Carbohydrate Counting in People With Type 1 Diabetic,UNKNOWN,2021-05-10,NA,106
NCT01759121,Safety and Effectiveness Study of 532nm Laser Subthreshold Panretinal Photocoagulation for Severe NPDR,UNKNOWN,2016-03,NA,84
NCT03631121,Effects of Replacing Lantus With Basalin on the Glycemic Variation in Patients With Type 2 Diabetes Mellitus,UNKNOWN,2018-08-15,PHASE4,100
NCT06770621,Longitudinal Study of the GLUcagon REsponse to Hypoglycemia in Children and Adolescents With New-onset Type 1 DIAbetes,RECRUITING,2022-05-25,NA,1000
NCT02973321,A Study to Assess the Safety and Efficacy of SAR425899 in Patients With Type 2 Diabetes Mellitus,COMPLETED,2016-12-02,PHASE2,296
NCT02962921,Insulin Effects on Cardiac Function in Patients With Diabetes Mellitus,COMPLETED,2003-02,PHASE4,6
NCT03478202,GOLO Open-Label Pilot 1,COMPLETED,2017-08-01,NA,27
NCT01242202,A Study to Assess the Safety and Efficacy of ASP1941 in Combination With α-glucosidase Inhibitor in Type 2 Diabetic Patients,COMPLETED,2010-10-21,PHASE3,113
NCT00922402,Heart & Diabetes - Feasibility Study,WITHDRAWN,2009-06,NA,0
NCT02612402,Effect of Smartphone App on Activity,UNKNOWN,2014-07,NA,270
NCT05488002,"Pharmacists Interventions on Patients Diabetic, and Obese Patients in the UAE: Randomized Controlled Trials.",UNKNOWN,2022-08-01,NA,720
NCT02465021,Innovation of Breakfast Cereals and Snacks for Control of Appetite and Post-Prandial Glycemia,COMPLETED,2015-03,NA,30
NCT00732121,Bone Turnover in Type 2 Diabetes Patients,UNKNOWN,2008-08,PHASE4,20
NCT01322321,ACZ885 in Type 1 Diabetes Mellitus,WITHDRAWN,2011-03,PHASE2,0
NCT03932721,EXpanded Combination of Evolocumab Plus Empagliflozin on Diabetes: EXCEED-BHS3 Trial,COMPLETED,2018-10-01,PHASE4,110
NCT04395521,The Feasibility of a Facebook Group-based Program for Foot Self-management Support of Adults With Diabetes in Canada,COMPLETED,2021-02-16,NA,32
NCT03011021,Safety and Efficacy of Umbilical Cord Blood Regulatory T Cells Plus Liraglutide on Autoimmune Diabetes,UNKNOWN,2017-01,PHASE1|PHASE2,40
NCT01128621,"A Study in Type 2 Diabetic Subjects on Stable Metformin Therapy to Investigate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Co-administering Single and Multiple Oral Doses of GSK1292263",COMPLETED,2009-11-23,PHASE2,66
NCT05041621,A Learning Algorithm for MDI Individuals With Type 1 Diabetes to Adjust Recommendations for High Fat Meals and Exercise Management,COMPLETED,2021-07-07,NA,15
NCT05152121,Additional Insulin for High Fat/Protein in Type 1 Diabetes,COMPLETED,2017-07-01,NA,20
NCT04238702,Renohemodynamic Effects of Combined empagliflOzin and LosARtan,COMPLETED,2020-11-04,PHASE4,24
NCT06321302,A Study to Test Whether BI 764524 Helps People With an Eye Condition Called Diabetic Retinopathy,RECRUITING,2024-05-15,PHASE2,178
NCT05254002,A Study to Learn How Well the Treatment Combination of Finerenone and Empagliflozin Works and How Safe it is Compared to Each Treatment Alone in Adult Participants With Long-term Kidney Disease (Chronic Kidney Disease) and Type 2 Diabetes,COMPLETED,2022-06-23,PHASE2,1664
NCT06560502,Modified Multi-Platform Trial Assessing Multiple CAMPs and SOC vs SOC Alone in the Treatment of DFU and VLUs,RECRUITING,2024-08-01,NA,324
NCT03700502,Functional Magnetic Resonance Imaging of Brain Activity in Patients With Painful Diabetic Neuropathy,UNKNOWN,2016-06-05,,60
NCT01519102,Comparison of Closed-loop Operation After Morning Meal With and Without Carbohydrate Counting,COMPLETED,2012-01,PHASE2,12
NCT00870402,Aldosterone in Diabetic Nephropathy,UNKNOWN,2009-03,PHASE4,160
NCT03640221,Ertugliflozin Versus Hydrochlorothiazide in Reducing Sympathetic Neural Overactivity in Patients With Hypertension and Recently-diagnosed Type 2 Diabetes.,WITHDRAWN,2018-09-01,PHASE4,0
NCT04104321,A Clinical Study to Evaluate the Efficacy and Safety of Aramchol in Subjects With NASH (ARMOR),SUSPENDED,2019-09-23,PHASE3,157
NCT04984421,IMplementation of the Family Support PRogramme A Healthy School Start to Prevent OVErweight and Obesity (IMPROVE),COMPLETED,2021-09-01,NA,1634
NCT00543621,An Intervention Program to Control Diabetes,COMPLETED,2005-05,PHASE4,150
NCT01330121,Bridging the Gap by Transitional Care,COMPLETED,2010-09,NA,130
NCT00698802,Safety and Efficacy of Biphasic Human Insulin Compared to EX1000 in Type 2 Diabetes,COMPLETED,2008-06,PHASE2,397
NCT06546202,Real-World Pharmacological Treatment Pattern of Neuropathic Pain in China,COMPLETED,2024-08-16,,1271
NCT03857802,Efficiency of a Nursing Intervention in Sleep Hygiene,COMPLETED,2017-09-01,NA,86
NCT01051102,Effect of NN5401 in Japanese Subjects With Type 1 Diabetes,COMPLETED,2010-01,PHASE1,21
NCT01703221,Omarigliptin (MK-3102) Clinical Trial - Placebo- and Sitagliptin-Controlled Monotherapy Study in Japanese Patients With Type 2 Diabetes Mellitus (MK-3102-020),COMPLETED,2012-10-24,PHASE3,414
NCT00320021,Effect of Pyridorin in Patients With Diabetic Nephropathy,COMPLETED,2002-07,PHASE2,80
NCT05643521,The Acute Effects of Eucaloric and Hypocaloric Carbohydrate Restriction on Liver Fat Content and Metabolism in Obese Individuals,UNKNOWN,2022-12-01,NA,14
NCT03174821,Effect Insulin Pump Therapy to Patients With Diabetic Nephropathy,COMPLETED,2010-10-20,NA,160
NCT03645421,Safety and Tolerability Study of MEDI0382 in Japanese Preobese or Obese Subjects With Type 2 Diabetes,COMPLETED,2018-08-10,PHASE2,61
NCT03159221,Behavioral Family Systems Therapy (BFST) for Teens With Type 2 Diabetes,COMPLETED,2011-04,NA,24
NCT04640064,Hb A1C Pre and Post Confinement in Latin American Children With Type 1 Diabetes: Dulce Study Group,UNKNOWN,2020-11-22,,500
NCT05543564,Prophylactic PRP in Moderate NPDR,COMPLETED,2019-02-01,,68
NCT00877864,Diabetes Exercise and Lifestyle Trial,UNKNOWN,2010-02,EARLY_PHASE1,26
NCT01726764,Interaction Between St John's Wort and Metformin?,COMPLETED,2013-01,PHASE1,20
NCT01980264,Harmonics-based in Vivo Optical Virtual Biopsy,RECRUITING,2009-08-05,NA,500
NCT04369664,CHOlesterol Lowering and Residual Risk in Type 2 Diabetes,COMPLETED,2020-08-12,PHASE4,151
NCT04975464,BRINK (BRain In Kidney Disease) Memory Study 2.0,UNKNOWN,2011-11-15,,600
NCT03096002,Small Steps for Big Changes: A Lifestyle Program to Reduce the Risk of Developing Type 2 Diabetes,UNKNOWN,2017-06-12,,500
NCT05009602,Diagnostic Tools to Establish the Presence and Severity of Peripheral Arterial Disease in People With Diabetes,ACTIVE_NOT_RECRUITING,2022-03-14,,604
NCT03713502,Enteropathy and Diabetes in HIV Patients,UNKNOWN,2019-05-01,,1947
NCT00463502,The Effect of Metformin Treatment on Thyroid Hormone Metabolism in Euthyroid Patients With Type 2 Diabetes Mellitus,COMPLETED,,PHASE4,0
NCT01515202,Japanese Phase 1 Multiple Ascending Dose Study,COMPLETED,2012-03,PHASE1,40
NCT05000021,Reducing Diabetes Distress Using Cognitive Behavioral Therapy in Young Adults With Type 1 Diabetes,RECRUITING,2022-06-27,NA,93
NCT05481021,Burnout Syndrome Among Diabetes Specialist Trainee Registrars in United Kingdom,COMPLETED,2022-07-05,,104
NCT01009021,Oral Diclofenac for Retinal Photocoagulation in Diabetic Retinopathy,COMPLETED,2008-03,NA,30
NCT01837121,a Trial of Using SMS Reminder Among Diabetic Retinopathy Patients in Rural China,COMPLETED,2015-01,NA,237
NCT01046721,"Study Looking at Cardiovascular Effects of Exenatide, Its Blood Pressure Lowering Effect and Its Mechanisms",COMPLETED,2009-09,NA,8
NCT04143321,Antiischemic Effects of Empagliflozin in Diabetic Patients With Refractory Angina,COMPLETED,2018-09-10,PHASE4,75
NCT00895921,Examining the Effects of Antipsychotic Medications on Insulin Sensitivity,COMPLETED,2008-11,PHASE4,30
NCT04311021,Current State of Impaired Awareness of Hypoglycaemia in People With Type 1 Diabetes,UNKNOWN,2020-01-23,,700
NCT01441921,Effect of Pistachio Intake on Insulin Resistance and Type 2 Diabetes Mellitus,COMPLETED,2011-09,NA,50
NCT06744621,Glucose Frequent of A1GDM in Labor,COMPLETED,2024-12-05,,100
NCT01018602,PINGUIN (Postpartum Intervention in Women With Gestational Diabetes Using Insulin),UNKNOWN,2008-01,PHASE2,140
NCT02872402,Feasibility of a Postpartum Lifestyle Intervention on the Cardiometabolic Risk Profile of GDM Women,ACTIVE_NOT_RECRUITING,2016-12,NA,30
NCT05443802,Comparison of a Low Dose to a Standard Dose of Insulin in Adult DKA in ICU to Reduce Metabolic Complications,COMPLETED,2022-08-16,NA,150
NCT03495102,A Study of the Efficacy and Safety of Dulaglutide (LY2189265) in Participants With Type 2 Diabetes,COMPLETED,2018-04-05,PHASE3,1842
NCT05641402,Evidence-based Text Messages to Target Diet and Physical Activity,COMPLETED,2022-07-14,NA,148
NCT01692002,Oral Propionate to Treat and Prevent Diabetes,TERMINATED,2013-01,NA,6
NCT05282602,Wii Fit Based Exercises and Proprioceptive Exercises in Diabetic Neuropathy Patients,COMPLETED,2022-02-20,NA,30
NCT04082702,Better Me Within Trial to Improve Lifestyle Behaviors in African Americans,COMPLETED,2013-02-22,NA,221
NCT03573102,Effect of Sodium Glucose co Transporter 2 Inhibitor ( SGLT2) on Proteinuria in Diabetic Patients,UNKNOWN,2018-06-20,PHASE4,60
NCT02917902,Assessing Health Outcomes in Low-income Diabetics Who Receive Monthly Boxes of Healthy Food at Clinic,COMPLETED,2015-01,NA,201
NCT00462202,"Open Label Tolerability and Safety Study of KRX-101 in Australia, New Zealand, and Hong Kong",TERMINATED,2007-04,PHASE3,200
NCT04745702,Food Based Intervention Rich in Plant Components to Improve Metabolic Health in Prediabetics (FBIP) Study,UNKNOWN,2020-11-02,NA,125
NCT01422421,Intensive Blood Pressure and LDL Lowering in Diabetic Patients With Coronary Artery Disease,COMPLETED,2011-08,PHASE4,798
NCT01807221,Phase IIb Safety and Efficacy Study of Different Oral Doses of BAY94-8862 in Subjects With Worsening Chronic Heart Failure and Left Ventricular Systolic Dysfunction and Either Type 2 Diabetes Mellitus With or Without Chronic Kidney Disease or Chronic Kidney Disease Alone,COMPLETED,2013-06-17,PHASE2,1066
NCT06654921,Remote Ischemic Conditioning for the Treatment of Diabetic Kidney Disease,NOT_YET_RECRUITING,2025-01,NA,60
NCT06232421,"Clinical Study in Adult Patients with Purulent-inflammatory Processes of the Skin and Soft Tissues, Phase I-II of the Wound Process",NOT_YET_RECRUITING,2025-01,PHASE2|PHASE3,224
NCT03064321,Diabetes Sleep Treatment Trial for Insomnia,COMPLETED,2017-11-01,NA,18
NCT01786421,Diurnal Triglyceridemia in Relation to Alcohol Intake,COMPLETED,,,273
NCT05803421,A Study of Daily Oral Orforglipron (LY3502970) Compared With Insulin Glargine in Participants With Type 2 Diabetes and Obesity or Overweight at Increased Cardiovascular Risk,ACTIVE_NOT_RECRUITING,2023-04-03,PHASE3,2749
NCT04053621,Co-administration of Thiamine Pyrophosphate and Metformin in Type 2 Diabetes,UNKNOWN,2021-01,NA,92
NCT01301521,Cinnamon Trial-lIfestyle iNtervention Plus Water-soluble Cinnamon Extract On loweriNg Blood Glucose in Pre-diabetics,COMPLETED,2013-06-11,NA,229
NCT05629221,Organisational Models Supported by Technology for the Management of Diabetic Disease and Its Complications in a Diabetic Clinic Setting. A Randomised Controlled Trial Targeting Type 2 Diabetes Individuals With Non-ideal Glycemic Values,UNKNOWN,2022-12-30,NA,120
NCT04581421,The Role of Dietary Carbohydrate and Fat Availability in the Regulation of Hepatic Lipid Content,COMPLETED,2020-12-03,NA,12
NCT00715221,Multi-Tracer Pet Quantitation of Insulin Action,COMPLETED,2007-07,,30
NCT02002221,Study of Efficacy and Safety of Vildagliptin as add-on Insulin Therapy in T2DM Patients,COMPLETED,2013-12,PHASE4,156
NCT01789021,Analytical Performance Evaluation of Blood Glucose Monitoring Systems- Investigator Sponsored Contour® XT Comparator Study - Ulm Germany,COMPLETED,2013-02,NA,120
NCT04569721,Percutaneous CT-guided Cryoablation of the Splanchnic Nerves,WITHDRAWN,2021-02-19,NA,0
NCT02475421,Hyperglucagonaemia in Patients With Type 2 Diabetes - Role of Glucagon Clearance,COMPLETED,2015-05,NA,32
NCT01915264,GLucobay M - Evaluation Of Safety and Effectiveness in Type 2 Diabetes Not Well Controlled on Monotherapy in Real Life Practice,WITHDRAWN,2015-08,,0
NCT06283264,Assessment of Coeliac Disease in Patients With Type 2 Diabetes,NOT_YET_RECRUITING,2024-03-15,,100
NCT06313164,The Impact of Oral Glutathione on Oxidative Damage and Glycated Hemoglobin (HbA1c) Levels in Type 2 Diabetes Patients,COMPLETED,2023-06-20,NA,217
NCT05271864,"Smart Watch, Heart Rate and So2 in Chronic Patients",COMPLETED,2022-11-01,,41
NCT00713921,Neuropathic Investigation and Anticholinergic Treatment of Bladder Dysfunction in Diabetes and Stroke Patients,WITHDRAWN,2009-09-15,EARLY_PHASE1,0
NCT03515421,Project Frazier 3 Regulatory Clinical Evaluation,COMPLETED,2018-04-09,NA,379
NCT03871621,Left Ventricular Functional Changes of Uncontrolled Diabetes by Dapagliflozin Treatment Trial,COMPLETED,2019-04-01,PHASE4,76
NCT01149421,A Study of the Effect of LY2189265 on Blood Pressure and Heart Rate in Type 2 Diabetes,COMPLETED,2010-06,PHASE2,755
NCT03531021,Increasing Heart Healthy Behaviors in Youth With Type 1 Diabetes,COMPLETED,2018-05-03,NA,45
NCT03252964,Continuous Glucose Monitors to Regulate Glucose Levels in Type 2 Diabetics,COMPLETED,2017-07-28,NA,52
NCT02038764,A Study To Assess The Safety Of PF-06342674 In Adults With Type 1 Diabetes,COMPLETED,2014-06-04,PHASE1,37
NCT04866264,Electronic-Nutrition-Optimizer for Personalized Prevention,COMPLETED,2021-11-11,NA,88
NCT01845064,A Study to Evaluate the Safety and Effectiveness of DM199 in Healthy Subjects and Type 2 Diabetes Patients,COMPLETED,2013-04,PHASE1|PHASE2,98
NCT06993064,Effect of Vitamin D on Inflammatory Markers in Type 2 Diabetes Mellitus in Mexico.,NOT_YET_RECRUITING,2025-05,NA,40
NCT01503164,Effects of Continuous Positive Airway Pressure (CPAP) on Glucose Metabolism,COMPLETED,2011-09,NA,111
